episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1029,19484.912944546377,40,25,1,98,3108.0000000000036,1.1532231940395206,87.8198898607062,2.57207644962747,2.1120829284094587,6.342727567217364
1,1191,25192.627612422802,40,28,2,96,1908.0000000000025,0.3848306745032185,92.28939266722642,1.609291911558914,4.680940386230059,1.035544360481388
2,975,17707.98453716008,40,24,2,96,3278.000000000001,0.25641025641025644,88.83333333333333,2.846153846153846,1.5705128205128205,6.493589743589744
3,1309,29106.994318743105,40,18,1,98,4236.231946966722,0.34030140982012635,91.6313632891173,1.3334259323564137,0.9896520591707757,5.705257309535384
4,1270,26975.31432906556,40,28,1,98,1983.999999999998,0.2755905511811024,91.58136482939634,3.5433070866141736,1.909448818897638,2.6902887139107614
5,1465,33747.16084135548,40,23,3,94,4186.000000000001,0.6303955029110622,90.63641838988156,1.5097370006022885,0.9596466572977312,6.263802449307368
6,1561,37195.26446363822,40,28,1,98,1624.0000000000014,0.06406149903907753,96.30578688874654,1.4253683536194748,1.37198377108691,0.8327994875080076
7,1160,23547.79759987952,40,22,1,98,3409.9999999999977,0.6082375478927204,91.05842911877396,1.9444444444444446,5.6130268199233715,0.7758620689655172
8,1228,26208.259443025116,40,22,2,96,2816.0000000000014,0.41621425986246835,92.8564965617083,1.3255519363011221,0.7736156351791532,4.628121606948969
9,1245,25991.69397480944,40,30,2,96,2128.000000000001,0.7389558232931726,90.33734939759034,1.7429718875502005,6.064257028112451,1.1164658634538152
10,1062,21795.4455210888,40,23,1,98,3860.0,0.9416195856873821,88.37930652486983,2.1269524759056164,1.3515010523983604,7.200620361138807
11,1170,24626.533987735038,40,27,0,100,1893.9999999999986,0.8152531229454306,92.49835634451017,2.307692307692308,3.1032215647600268,1.2754766600920449
12,969,17697.74815704547,40,21,1,98,3692.0,0.22812449079354732,87.83879202650589,3.3784150779425346,2.1345934495681926,6.420074955189833
13,1048,20149.616835620298,40,23,1,98,4051.999999999999,0.5107768298158958,87.57296811854512,2.553884149079479,1.055231252806466,8.307139649753031
14,1446,32544.17570805683,40,30,5,90,1828.0000000000011,0.4218533886583679,93.015214384509,0.9958506224066389,0.6639004149377594,4.903181189488244
15,1269,27180.757611255503,40,28,2,96,1906.000000000002,0.07880220646178093,94.39190964013659,2.2852639873916467,0.8536905700026267,2.390333596007355
